STATECD,UNITCD,COUNTYCD,PLOT,sdimax_metric_mean,sdimax_metric_median,sdimax_english_mean,sdimax_english_median,PLT_CN,CONDID,FORTYPCD,OWNGRPCD,SITECLCD
9,1,9,106,544.383320472646,503.97192695135,220.304090675465,203.950181641463,445525664489998,1,801,40,4
9,1,9,119,424.910549032086,433.927766481182,171.955180481379,175.604318535097,445525729489998,2,801,30,5
9,1,9,139,910.067801498441,851.970759801263,368.291334290078,344.78029811263,719393323290487,1,515,30,5
9,1,9,152,1191.29578864352,1205.47648662698,482.100251004676,487.838975276531,944325475290487,1,519,40,5
9,1,9,172,601.579733966467,592.152259711239,243.45065558806,239.635492512599,445525684489998,1,701,40,4
9,1,9,192,1014.39370731325,995.797908232658,410.510526080287,402.985073971878,944325480290487,2,510,40,6
9,1,9,210,930.964677187445,920.493406775545,376.747998966408,372.510426617006,944325484290487,2,503,40,5
9,1,9,219,941.134832959766,944.000375075244,380.863714557223,382.02335818755,814949769290487,1,515,30,5
9,1,9,250,667.620677714331,655.774231845256,270.176474533231,265.382388478837,247050393010661,1,503,40,6
9,1,9,270,756.918151920403,851.717901275369,306.313876460799,344.677969908363,814949777290487,1,520,30,4
9,1,9,275,517.159497715445,569.462223010827,209.287001628674,230.45316139647,567481544126144,1,503,40,6
9,1,9,277,787.637841734243,779.276754240539,318.745692564927,315.362080855885,944325474290487,1,962,30,5
9,1,9,296,759.578615140379,746.289830726169,307.390527615253,302.012747921318,567481571126144,1,801,40,5
9,1,9,302,439.270955259957,546.072677130368,177.766630091949,220.987748988109,719393271290487,2,708,40,6
9,1,9,350,942.124331467134,898.467642663819,381.264150354376,363.596917051993,445525662489998,1,503,20,5
9,1,9,358,978.789709366794,928.428813142993,396.102100808927,375.72177130406,122556103010661,1,708,40,5
9,1,9,372,834.815826726698,816.10762174024,337.83794372839,330.267002568522,445525682489998,1,519,30,6
9,1,9,377,796.454636285126,746.517271746046,322.313722357828,302.104790026912,445525679489998,1,503,40,5
9,1,9,420,880.040414194342,874.07613378132,356.139683042486,353.726024644974,719393270290487,2,519,40,6
9,1,9,424,1306.33195250181,1251.61874848084,528.653729997367,506.512084200218,247050416010661,2,519,40,6
9,1,9,434,684.074855760175,689.928570864906,276.83524344822,279.204157657607,503649924126144,1,519,40,5
9,1,9,437,724.87025408079,724.521748546276,293.344553694837,293.203518523499,445525660489998,1,962,40,3
9,1,9,460,1142.9167325171,1069.6977077687,462.521943648722,432.891258687001,567481567126144,1,809,40,6
9,1,9,474,1671.75837394982,1788.44872804174,676.536540616907,723.759446576808,1285453428290487,2,506,40,5
9,1,9,488,1046.93514932685,1002.50332368377,423.679579066426,405.698659046961,944325465290487,1,503,40,5
9,1,9,491,691.682684506259,688.393360831501,279.914022189026,278.582880264112,445525663489998,1,503,40,5
9,1,9,533,410.591104024525,396.972375485549,166.160307286827,160.649003956795,719393275290487,2,507,30,5
9,1,9,554,1090.68694768187,1097.02859423071,441.385301834806,443.951674873411,719393282290487,1,962,30,5
9,1,9,561,1057.28418976208,1069.84957168396,427.867686704381,432.952715826666,719393284290487,2,805,30,5
9,1,9,568,750.412255245111,753.200312925908,303.681033761221,304.809320556609,503649786126144,1,519,40,6
9,1,9,575,727.676746844844,713.040135012744,294.480300902954,288.557074861713,567481558126144,1,503,40,5
9,1,9,639,583.231022456324,568.207910217468,236.025196261351,229.945559071102,503649927126144,1,503,40,4
9,1,9,671,1001.1493441149,996.09731902246,405.150723012745,403.106241206996,814949750290487,2,519,40,5
9,1,9,677,836.58833076963,818.835300548801,338.555250590506,331.370854903772,1285453449290487,1,503,40,6
9,1,9,725,1230.17874937554,1133.97949204666,497.83562529829,458.905171126598,814949756290487,2,503,40,4
9,1,11,5,993.851915092106,1068.79529014738,402.197558570198,432.526063270467,55922624010538,2,401,40,4
9,1,11,6,827.301482165364,800.479566437574,334.79699669098,323.94255363153,567481517126144,1,519,40,6
9,1,11,8,924.286280229475,922.990226291172,374.045347886433,373.520853520779,719393314290487,1,701,40,5
9,1,11,24,1000.93093571385,986.783421094358,405.062336277921,399.337040835623,567481526126144,1,519,40,6
